3.000000008570642152e+01,3.841471040695503092e+01,3.909297667074705629e+01,3.141120688910299918e+01,2.243198776688139517e+01,2.041077291957292061e+01,2.720585773797142082e+01,3.656987279569221272e+01,3.989358486872406218e+01,3.412118541129363081e+01
3.000000498120817127e+01,3.841474232963646074e+01,3.909311389961585093e+01,3.141159578697672927e+01,2.243271432376185359e+01,2.041166776420439888e+01,2.720658429485187924e+01,3.657026169356594636e+01,3.989372209759284971e+01,3.412121733397506063e+01
3.000015496084416000e+01,3.841572031971446677e+01,3.909731807251363733e+01,3.142351014519558916e+01,2.245497327533963983e+01,2.043908241522145275e+01,2.722884324642966547e+01,3.658217605178480625e+01,3.989792627049064322e+01,3.412219532405306666e+01
3.000258032971607847e+01,3.843153571142833158e+01,3.916530510296215084e+01,3.161618105923594513e+01,2.281492993161030114e+01,2.088241354330460098e+01,2.758879990270032678e+01,3.677484696582516221e+01,3.996591330093914962e+01,3.413801071576693147e+01
3.002299822841892052e+01,3.856467713568677169e+01,3.973765198053458647e+01,3.323817565618386283e+01,2.584521478033514441e+01,2.461458400604017172e+01,3.061908475142517005e+01,3.839684156277308347e+01,4.053826017851159236e+01,3.427115214002537158e+01
3.010971841144460726e+01,3.913016376327920653e+01,4.216855962189532647e+01,4.012721308168728740e+01,3.871563110113120132e+01,4.046609303358192022e+01,4.348950107222122341e+01,4.528587898827650093e+01,4.296916781987233236e+01,3.483663876761780642e+01
3.028017577882036093e+01,4.024168542366415124e+01,4.694675660468087841e+01,5.366831899651795368e+01,6.401374748567516804e+01,7.162385127963355558e+01,6.878761745676519013e+01,5.882698490310716721e+01,4.774736480265787719e+01,3.594816042800275113e+01
3.038295488468958538e+01,4.091188938238663297e+01,4.982782194740180870e+01,6.183307467609414942e+01,7.926751927746515491e+01,9.041075725336861524e+01,8.404138924855517701e+01,6.699174058268336296e+01,5.062843014537880748e+01,3.661836438672523286e+01
3.028017577882036093e+01,4.024168542366415124e+01,4.694675660468087841e+01,5.366831899651795368e+01,6.401374748567516804e+01,7.162385127963355558e+01,6.878761745676519013e+01,5.882698490310716721e+01,4.774736480265787719e+01,3.594816042800275113e+01
3.010971841144460726e+01,3.913016376327920653e+01,4.216855962189532647e+01,4.012721308168728740e+01,3.871563110113120132e+01,4.046609303358192022e+01,4.348950107222122341e+01,4.528587898827650093e+01,4.296916781987233236e+01,3.483663876761780642e+01
